"","District","Income Streams","Cohort","Year","Amount"
"1","Control Kanungu...","Salaried  Employment","2018","Base","11.207207207207206"
"2","Control Kanungu...","Self-Income / Business","2018","Base","32.569369369369369"
"3","Control Kanungu...","Casual Labour Income","2018","Base","97.637477477477489"
"4","Control Kanungu...","Remit and Gifts Income","2018","Base","5.0666666666666673"
"5","Control Kanungu...","Rent Income","2018","Base","1.4414414414414414"
"6","Control Kanungu...","Perennial Crop Income","2018","Base","0"
"7","Control Kanungu...","Seasonal Crop Income","2018","Base","108.20440807207206"
"8","Control Kanungu...","Season1 Value","2018","Base","71.482586666666663"
"9","Control Kanungu...","Season2 Value","2018","Base","58.298306306306308"
"10","Control Kanungu...","Perennial Value","2018","Base","117.36400836036036"
"11","Control Kanungu...","Annual Agric Value","2018","Base","247.14490133333334"
"12","Control Kanungu...","Livestock Income","2018","Base","20.366126126126126"
"13","Control Kanungu...","Livestock Income/ Production","2018","Base","23.551711711711711"
"14","Control Kanungu...","Livestock Value","2018","Base","99.511351351351351"
"15","Control Kanungu...","PPI","2018","Base","30.02"
"16","Control Mitooma...","Salaried  Employment","2020","Base","14.35112165990353"
"17","Control Mitooma...","Self-Income / Business","2020","Base","42.979863716407628"
"18","Control Mitooma...","Casual Labour Income","2020","Base","37.552714187275093"
"19","Control Mitooma...","Remit and Gifts Income","2020","Base","5.43603093178164"
"20","Control Mitooma...","Rent Income","2020","Base","0.97634178087435874"
"21","Control Mitooma...","Perennial Crop Income","2020","Base","53.172421713498203"
"22","Control Mitooma...","Seasonal Crop Income","2020","Base","14.087282750172267"
"23","Control Mitooma...","Season1 Value","2020","Base","42.782865017992499"
"24","Control Mitooma...","Season2 Value","2020","Base","35.025495750708217"
"25","Control Mitooma...","Perennial Value","2020","Base","122.24485108337799"
"26","Control Mitooma...","Annual Agric Value","2020","Base","200.0532118520787"
"27","Control Mitooma...","Livestock Income","2020","Base","14.201822218819387"
