"","District","Income Streams","Cohort","Year","Amount"
"1","Kisoro...","Salaried Employment","2018","Base","0"
"2","Kisoro...","Self-Income / Business","2018","Base","11.32"
"3","Kisoro...","Casual Labour Income","2018","Base","99.6"
"4","Kisoro...","Remit and Gifts Income","2018","Base","0"
"5","Kisoro...","Rent Income","2018","Base","0.86"
"6","Kisoro...","Perennial Crop Income","2018","Base","5.56"
"7","Kisoro...","Seasonal Crop Income","2018","Base","53.6"
"8","Kisoro...","Season1 Value","2018","Base","116.03"
"9","Kisoro...","Season2 Value","2018","Base","97.28"
"10","Kisoro...","Perennial Value","2018","Base","0"
"11","Kisoro...","Annual Agric Value","2018","Base","213.3"
"12","Kisoro...","Livestock Income","2018","Base","31.52"
"13","Kisoro...","Livestock Income/ Production","2018","Base","33.86"
"14","Kisoro...","Livestock Value","2018","Base","99.14"
"15","Kisoro...","PPI","2018","Base","26.96"
"16","Kanungu...","Salaried Employment","2018","Base","9.66"
"17","Kanungu...","Self-Income / Business","2018","Base","155.18"
"18","Kanungu...","Casual Labour Income","2018","Base","0"
"19","Kanungu...","Remit and Gifts Income","2018","Base","0"
"20","Kanungu...","Rent Income","2018","Base","1.1499999999999999"
"21","Kanungu...","Perennial Crop Income","2018","Base","0"
"22","Kanungu...","Seasonal Crop Income","2018","Base","88.33"
"23","Kanungu...","Season1 Value","2018","Base","85.6"
"24","Kanungu...","Season2 Value","2018","Base","86.55"
"25","Kanungu...","Perennial Value","2018","Base","55.78"
"26","Kanungu...","Annual Agric Value","2018","Base","227.93"
"27","Kanungu...","Livestock Income","2018","Base","31.17"
"28","Kanungu...","Livestock Income/ Production","2018","Base","36.799999999999997"
"29","Kanungu...","Livestock Value","2018","Base","88.61"
"30","Kanungu...","PPI","2018","Base","27.31"
"31","Kisoro...","Salaried Employment","2019","Base","4.1900000000000004"
"32","Kisoro...","Self-Income / Business","2019","Base","40.659999999999997"
"33","Kisoro...","Casual Labour Income","2019","Base","51.56"
"34","Kisoro...","Remit and Gifts Income","2019","Base","4.78"
"35","Kisoro...","Rent Income","2019","Base","1.1100000000000001"
"36","Kisoro...","Perennial Crop Income","2019","Base","4.38"
"37","Kisoro...","Seasonal Crop Income","2019","Base","121.17"
"38","Kisoro...","Season1 Value","2019","Base","126.45"
"39","Kisoro...","Season2 Value","2019","Base","114.86"
"40","Kisoro...","Perennial Value","2019","Base","4.38"
"41","Kisoro...","Annual Agric Value","2019","Base","245.69"
"42","Kisoro...","Livestock Income","2019","Base","23.2"
"43","Kisoro...","Livestock Income/ Production","2019","Base","24.3"
"44","Kisoro...","Livestock Value","2019","Base","104.18"
"45","Kisoro...","PPI","2019","Base","32.79"
"46","Kanu...","Salaried Employment","2019","Base","18.53"
"47","Kanu...","Self-Income / Business","2019","Base","36.32"
"48","Kanu...","Casual Labour Income","2019","Base","60.72"
"49","Kanu...","Remit and Gifts Income","2019","Base","6.14"
"50","Kanu...","Rent Income","2019","Base","1.81"
"51","Kanu...","Perennial Crop Income","2019","Base","80.17"
"52","Kanu...","Seasonal Crop Income","2019","Base","52.16"
"53","Kanu...","Season1 Value","2019","Base","77.38"
"54","Kanu...","Season2 Value","2019","Base","71.959999999999994"
"55","Kanu...","Perennial Value","2019","Base","95.46"
"56","Kanu...","Annual Agric Value","2019","Base","244.8"
"57","Kanu...","Livestock Income","2019","Base","22"
"58","Kanu...","Livestock Income/ Production","2019","Base","26.16"
"59","Kanu...","Livestock Value","2019","Base","86.26"
"60","Kanu...","PPI","2019","Base","31.23"
"61","Ruk...","Salaried Employment","2019","Base","20.420000000000002"
"62","Ruk...","Self-Income / Business","2019","Base","47.18"
"63","Ruk...","Casual Labour Income","2019","Base","47.22"
"64","Ruk...","Remit and Gifts Income","2019","Base","5.47"
"65","Ruk...","Rent Income","2019","Base","0.86"
"66","Ruk...","Perennial Crop Income","2019","Base","85.92"
"67","Ruk...","Seasonal Crop Income","2019","Base","37.75"
"68","Ruk...","Season1 Value","2019","Base","67.3"
"69","Ruk...","Season2 Value","2019","Base","51.66"
"70","Ruk...","Perennial Value","2019","Base","168.23"
"71","Ruk...","Annual Agric Value","2019","Base","287.19"
"72","Ruk...","Livestock Income","2019","Base","19.420000000000002"
"73","Ruk...","Livestock Income/ Production","2019","Base","21.82"
"74","Ruk...","Livestock Value","2019","Base","95.81"
"75","Ruk...","PPI","2019","Base","30.09"
"76","Kisoro...","Salaried Employment","2020","Base","10.88"
"77","Kisoro...","Self-Income / Business","2020","Base","35.57"
"78","Kisoro...","Casual Labour Income","2020","Base","61.84"
"79","Kisoro...","Remit and Gifts Income","2020","Base","2.27"
"80","Kisoro...","Rent Income","2020","Base","3.65"
"81","Kisoro...","Perennial Crop Income","2020","Base","8.8000000000000007"
"82","Kisoro...","Seasonal Crop Income","2020","Base","75.03"
"83","Kisoro...","Season1 Value","2020","Base","97.67"
"84","Kisoro...","Season2 Value","2020","Base","83.48"
"85","Kisoro...","Perennial Value","2020","Base","51.43"
"86","Kisoro...","Annual Agric Value","2020","Base","232.58"
"87","Kisoro...","Livestock Income","2020","Base","10.26"
"88","Kisoro...","Livestock Income/ Production","2020","Base","11.07"
"89","Kisoro...","Livestock Value","2020","Base","49.9"
"90","Kisoro...","PPI","2020","Base","31.03"
"91","Kanu...","Salaried Employment","2020","Base","22.35"
"92","Kanu...","Self-Income / Business","2020","Base","57.71"
"93","Kanu...","Casual Labour Income","2020","Base","81.5"
"94","Kanu...","Remit and Gifts Income","2020","Base","18.579999999999998"
"95","Kanu...","Rent Income","2020","Base","5.71"
"96","Kanu...","Perennial Crop Income","2020","Base","40.130000000000003"
"97","Kanu...","Seasonal Crop Income","2020","Base","47.38"
"98","Kanu...","Season1 Value","2020","Base","50.21"
"99","Kanu...","Season2 Value","2020","Base","79.040000000000006"
"100","Kanu...","Perennial Value","2020","Base","79.41"
"101","Kanu...","Annual Agric Value","2020","Base","208.66"
"102","Kanu...","Livestock Income","2020","Base","15.31"
"103","Kanu...","Livestock Income/ Production","2020","Base","18.62"
"104","Kanu...","Livestock Value","2020","Base","82.02"
"105","Kanu...","PPI","2020","Base","29.01"
"106","Ruk...","Salaried Employment","2020","Base","9.57"
"107","Ruk...","Self-Income / Business","2020","Base","42.42"
"108","Ruk...","Casual Labour Income","2020","Base","71.55"
"109","Ruk...","Remit and Gifts Income","2020","Base","8.93"
"110","Ruk...","Rent Income","2020","Base","2.35"
"111","Ruk...","Perennial Crop Income","2020","Base","37.93"
"112","Ruk...","Seasonal Crop Income","2020","Base","17.18"
"113","Ruk...","Season1 Value","2020","Base","44.92"
"114","Ruk...","Season2 Value","2020","Base","71.510000000000005"
"115","Ruk...","Perennial Value","2020","Base","94.7"
"116","Ruk...","Annual Agric Value","2020","Base","211.14"
"117","Ruk...","Livestock Income","2020","Base","12.65"
"118","Ruk...","Livestock Income/ Production","2020","Base","14.58"
"119","Ruk...","Livestock Value","2020","Base","74"
"120","Ruk...","PPI","2020","Base","31.67"
"121","Mit","Salaried Employment","2020","Base","23.53"
"122","Mit","Self-Income / Business","2020","Base","37.869999999999997"
"123","Mit","Casual Labour Income","2020","Base","34.869999999999997"
"124","Mit","Remit and Gifts Income","2020","Base","9.0299999999999994"
"125","Mit","Rent Income","2020","Base","2.5299999999999998"
"126","Mit","Perennial Crop Income","2020","Base","67.849999999999994"
"127","Mit","Seasonal Crop Income","2020","Base","17.260000000000002"
"128","Mit","Season1 Value","2020","Base","44.15"
"129","Mit","Season2 Value","2020","Base","35.729999999999997"
"130","Mit","Perennial Value","2020","Base","147.85"
"131","Mit","Annual Agric Value","2020","Base","227.73"
"132","Mit","Livestock Income","2020","Base","21.67"
"133","Mit","Livestock Income/ Production","2020","Base","24.2"
"134","Mit","Livestock Value","2020","Base","124.73"
"135","Mit","PPI","2020","Base","31.61"
"136","Kag","Salaried Employment","2020","Base","0"
"137","Kag","Self-Income / Business","2020","Base","9.83"
"138","Kag","Casual Labour Income","2020","Base","68.27"
"139","Kag","Remit and Gifts Income","2020","Base","0.99"
"140","Kag","Rent Income","2020","Base","4.93"
"141","Kag","Perennial Crop Income","2020","Base","35.380000000000003"
"142","Kag","Seasonal Crop Income","2020","Base","129.66"
"143","Kag","Season1 Value","2020","Base","131.47"
"144","Kag","Season2 Value","2020","Base","104.92"
"145","Kag","Perennial Value","2020","Base","61.8"
"146","Kag","Annual Agric Value","2020","Base","298.19"
"147","Kag","Livestock Income","2020","Base","7.44"
"148","Kag","Livestock Income/ Production","2020","Base","10.69"
"149","Kag","Livestock Value","2020","Base","53.51"
"150","Kag","PPI","2020","Base","30.82"
"151","Kanu...","Salaried Employment","2021","Base","8.07"
"152","Kanu...","Self-Income / Business","2021","Base","27.81"
"153","Kanu...","Casual Labour Income","2021","Base","47.41"
"154","Kanu...","Remit and Gifts Income","2021","Base","2.1"
"155","Kanu...","Rent Income","2021","Base","1.75"
"156","Kanu...","Perennial Crop Income","2021","Base","41.86"
"157","Kanu...","Seasonal Crop Income","2021","Base","13.64"
"158","Kanu...","Season1 Value","2021","Base","76.88"
"159","Kanu...","Season2 Value","2021","Base","28.09"
"160","Kanu...","Perennial Value","2021","Base","62.1"
"161","Kanu...","Annual Agric Value","2021","Base","167.07"
"162","Kanu...","Livestock Income","2021","Base","9.76"
"163","Kanu...","Livestock Income/ Production","2021","Base","15.13"
"164","Kanu...","Livestock Value","2021","Base","71.56"
"165","Kanu...","PPI","2021","Base","29.05"
"166","Ruk...","Salaried Employment","2021","Base","21.92"
"167","Ruk...","Self-Income / Business","2021","Base","47.53"
"168","Ruk...","Casual Labour Income","2021","Base","24.59"
"169","Ruk...","Remit and Gifts Income","2021","Base","14.03"
"170","Ruk...","Rent Income","2021","Base","3.6"
"171","Ruk...","Perennial Crop Income","2021","Base","55.17"
"172","Ruk...","Seasonal Crop Income","2021","Base","42.67"
"173","Ruk...","Season1 Value","2021","Base","82.89"
"174","Ruk...","Season2 Value","2021","Base","71.47"
"175","Ruk...","Perennial Value","2021","Base","152.99"
"176","Ruk...","Annual Agric Value","2021","Base","307.35000000000002"
"177","Ruk...","Livestock Income","2021","Base","17.75"
"178","Ruk...","Livestock Income/ Production","2021","Base","21.43"
"179","Ruk...","Livestock Value","2021","Base","147.08000000000001"
"180","Ruk...","PPI","2021","Base","32.479999999999997"
"181","Mit...","Salaried Employment","2021","Base","9.8000000000000007"
"182","Mit...","Self-Income / Business","2021","Base","45.05"
"183","Mit...","Casual Labour Income","2021","Base","41.6"
"184","Mit...","Remit and Gifts Income","2021","Base","5.38"
"185","Mit...","Rent Income","2021","Base","4.82"
"186","Mit...","Perennial Crop Income","2021","Base","33.49"
"187","Mit...","Seasonal Crop Income","2021","Base","35.130000000000003"
"188","Mit...","Season1 Value","2021","Base","70.569999999999993"
"189","Mit...","Season2 Value","2021","Base","51.48"
"190","Mit...","Perennial Value","2021","Base","72.430000000000007"
"191","Mit...","Annual Agric Value","2021","Base","194.48"
"192","Mit...","Livestock Income","2021","Base","14.95"
"193","Mit...","Livestock Income/ Production","2021","Base","16.64"
"194","Mit...","Livestock Value","2021","Base","71.92"
"195","Mit...","PPI","2021","Base","29.46"
"196","Rubanda...","Salaried Employment","2021","Base","7.25"
"197","Rubanda...","Self-Income / Business","2021","Base","14.93"
"198","Rubanda...","Casual Labour Income","2021","Base","55.89"
"199","Rubanda...","Remit and Gifts Income","2021","Base","12.63"
"200","Rubanda...","Rent Income","2021","Base","0.3"
"201","Rubanda...","Perennial Crop Income","2021","Base","3.42"
"202","Rubanda...","Seasonal Crop Income","2021","Base","77.319999999999993"
"203","Rubanda...","Season1 Value","2021","Base","120.25"
"204","Rubanda...","Season2 Value","2021","Base","98.67"
"205","Rubanda...","Perennial Value","2021","Base","15.17"
"206","Rubanda...","Annual Agric Value","2021","Base","234.08"
"207","Rubanda...","Livestock Income","2021","Base","9.9499999999999993"
"208","Rubanda...","Livestock Income/ Production","2021","Base","11.64"
"209","Rubanda...","Livestock Value","2021","Base","63.3"
"210","Rubanda...","PPI","2021","Base","30.67"
"211","Kanungu...","Salaried Employment","2022","Base","14.63"
"212","Kanungu...","Self-Income / Business","2022","Base","23.34"
"213","Kanungu...","Casual Labour Income","2022","Base","80.39"
"214","Kanungu...","Remit and Gifts Income","2022","Base","18.32"
"215","Kanungu...","Rent Income","2022","Base","7.99"
"216","Kanungu...","Perennial Crop Income","2022","Base","71.14"
"217","Kanungu...","Seasonal Crop Income","2022","Base","33.03"
"218","Kanungu...","Season1 Value","2022","Base","67.58"
"219","Kanungu...","Season2 Value","2022","Base","57.49"
"220","Kanungu...","Perennial Value","2022","Base","120.7"
"221","Kanungu...","Annual Agric Value","2022","Base","245.77"
"222","Kanungu...","Livestock Income","2022","Base","18.63"
"223","Kanungu...","Livestock Income/ Production","2022","Base","23.24"
"224","Kanungu...","Livestock Value","2022","Base","95.75"
"225","Kanungu...","PPI","2022","Base","31"
"226","Rukungiri...","Salaried Employment","2022","Base","9.85"
"227","Rukungiri...","Self-Income / Business","2022","Base","8.3699999999999992"
"228","Rukungiri...","Casual Labour Income","2022","Base","52.02"
"229","Rukungiri...","Remit and Gifts Income","2022","Base","3.59"
"230","Rukungiri...","Rent Income","2022","Base","1.55"
"231","Rukungiri...","Perennial Crop Income","2022","Base","37.409999999999997"
"232","Rukungiri...","Seasonal Crop Income","2022","Base","25.54"
"233","Rukungiri...","Season1 Value","2022","Base","49.24"
"234","Rukungiri...","Season2 Value","2022","Base","40.89"
"235","Rukungiri...","Perennial Value","2022","Base","99.38"
"236","Rukungiri...","Annual Agric Value","2022","Base","189.5"
"237","Rukungiri...","Livestock Income","2022","Base","9.68"
"238","Rukungiri...","Livestock Income/ Production","2022","Base","10.78"
"239","Rukungiri...","Livestock Value","2022","Base","135.61000000000001"
"240","Rukungiri...","PPI","2022","Base","32.81"
"241","Mitooma...","Salaried Employment","2022","Base","4.32"
"242","Mitooma...","Self-Income / Business","2022","Base","26.44"
"243","Mitooma...","Casual Labour Income","2022","Base","50.56"
"244","Mitooma...","Remit and Gifts Income","2022","Base","3.92"
"245","Mitooma...","Rent Income","2022","Base","3.2"
"246","Mitooma...","Perennial Crop Income","2022","Base","55.64"
"247","Mitooma...","Seasonal Crop Income","2022","Base","15.46"
"248","Mitooma...","Season1 Value","2022","Base","46.18"
"249","Mitooma...","Season2 Value","2022","Base","39.270000000000003"
"250","Mitooma...","Perennial Value","2022","Base","139.94"
"251","Mitooma...","Annual Agric Value","2022","Base","225.4"
"252","Mitooma...","Livestock Income","2022","Base","11.88"
"253","Mitooma...","Livestock Income/ Production","2022","Base","14.54"
"254","Mitooma...","Livestock Value","2022","Base","97.9"
"255","Mitooma...","PPI","2022","Base","30.68"
"256","Rubanda...","Salaried Employment","2022","Base","28.06"
"257","Rubanda...","Self-Income / Business","2022","Base","21.84"
"258","Rubanda...","Casual Labour Income","2022","Base","76.010000000000005"
"259","Rubanda...","Remit and Gifts Income","2022","Base","11.31"
"260","Rubanda...","Rent Income","2022","Base","2.41"
"261","Rubanda...","Perennial Crop Income","2022","Base","12.31"
"262","Rubanda...","Seasonal Crop Income","2022","Base","92.11"
