"District","Income Streams","Cohort","Year","Status","Values"
"Kanungu","Salaried Employment","2018","Base","RTV",9.66
"Kanungu","Salaried Employment","2018","Base","Control",11.2072072072072
"Kanungu","Self-Income / Business","2018","Base","RTV",155.18
"Kanungu","Self-Income / Business","2018","Base","Control",32.5693693693694
"Kanungu","Casual Labour Income","2018","Base","RTV",0
"Kanungu","Casual Labour Income","2018","Base","Control",97.6374774774775
"Kanungu","Remit and Gifts Income","2018","Base","RTV",0
"Kanungu","Remit and Gifts Income","2018","Base","Control",5.06666666666667
"Kanungu","Rent Income","2018","Base","RTV",1.15
"Kanungu","Rent Income","2018","Base","Control",1.44144144144144
"Kanungu","Perennial Crop Income","2018","Base","RTV",0
"Kanungu","Perennial Crop Income","2018","Base","Control",0
"Kanungu","Seasonal Crop Income","2018","Base","RTV",88.33
"Kanungu","Seasonal Crop Income","2018","Base","Control",108.204408072072
"Kanungu","Season1 Value","2018","Base","RTV",85.6
"Kanungu","Season1 Value","2018","Base","Control",71.4825866666667
"Kanungu","Season2 Value","2018","Base","RTV",86.55
"Kanungu","Season2 Value","2018","Base","Control",58.2983063063063
"Kanungu","Perennial Value","2018","Base","RTV",55.78
"Kanungu","Perennial Value","2018","Base","Control",117.36400836036
"Kanungu","Annual Agric Value","2018","Base","RTV",227.93
"Kanungu","Annual Agric Value","2018","Base","Control",247.144901333333
"Kanungu","Livestock Income","2018","Base","RTV",31.17
"Kanungu","Livestock Income","2018","Base","Control",20.3661261261261
"Kanungu","Livestock Income/ Production","2018","Base","RTV",36.8
"Kanungu","Livestock Income/ Production","2018","Base","Control",23.5517117117117
"Kanungu","Livestock Value","2018","Base","RTV",88.61
"Kanungu","Livestock Value","2018","Base","Control",99.5113513513514
"Kanungu","PPI","2018","Base","RTV",27.31
"Kanungu","PPI","2018","Base","Control",30.02
"Kanungu","Salaried Employment","2019","Base","RTV",18.53
"Kanungu","Salaried Employment","2019","Base","Control",10.2043872126975
"Kanungu","Self-Income / Business","2019","Base","RTV",36.32
"Kanungu","Self-Income / Business","2019","Base","Control",41.4647001572209
"Kanungu","Casual Labour Income","2019","Base","RTV",60.72
"Kanungu","Casual Labour Income","2019","Base","Control",130.451448678595
"Kanungu","Remit and Gifts Income","2019","Base","RTV",6.14
"Kanungu","Remit and Gifts Income","2019","Base","Control",4.97566818896459
"Kanungu","Rent Income","2019","Base","RTV",1.81
"Kanungu","Rent Income","2019","Base","Control",1.50108557310773
"Kanungu","Perennial Crop Income","2019","Base","RTV",80.17
"Kanungu","Perennial Crop Income","2019","Base","Control",44.7405405405405
"Kanungu","Seasonal Crop Income","2019","Base","RTV",52.16
"Kanungu","Seasonal Crop Income","2019","Base","Control",94.3118589503631
"Kanungu","Season1 Value","2019","Base","RTV",77.38
"Kanungu","Season1 Value","2019","Base","Control",82.8000524069776
"Kanungu","Season2 Value","2019","Base","RTV",71.96
"Kanungu","Season2 Value","2019","Base","Control",78.2335479523845
"Kanungu","Perennial Value","2019","Base","RTV",95.46
"Kanungu","Perennial Value","2019","Base","Control",162.786883282174
"Kanungu","Annual Agric Value","2019","Base","RTV",244.8
"Kanungu","Annual Agric Value","2019","Base","Control",323.820483641536
"Kanungu","Livestock Income","2019","Base","RTV",22
"Kanungu","Livestock Income","2019","Base","Control",36.2057370667066
"Kanungu","Livestock Income/ Production","2019","Base","RTV",26.16
"Kanungu","Livestock Income/ Production","2019","Base","Control",41.8627027027027
"Kanungu","Livestock Value","2019","Base","RTV",86.26
"Kanungu","Livestock Value","2019","Base","Control",169.101227820618
"Kanungu","PPI","2019","Base","RTV",31.23
"Kanungu","PPI","2019","Base","Control",27.09
"Rukungiri","Salaried Employment","2019","Base","RTV",20.42
"Rukungiri","Salaried Employment","2019","Base","Control",10.2043872126975
"Rukungiri","Self-Income / Business","2019","Base","RTV",47.18
"Rukungiri","Self-Income / Business","2019","Base","Control",41.4647001572209
"Rukungiri","Casual Labour Income","2019","Base","RTV",47.22
"Rukungiri","Casual Labour Income","2019","Base","Control",130.451448678595
"Rukungiri","Remit and Gifts Income","2019","Base","RTV",5.47
"Rukungiri","Remit and Gifts Income","2019","Base","Control",4.97566818896459
"Rukungiri","Rent Income","2019","Base","RTV",0.86
"Rukungiri","Rent Income","2019","Base","Control",1.50108557310773
"Rukungiri","Perennial Crop Income","2019","Base","RTV",85.92
"Rukungiri","Perennial Crop Income","2019","Base","Control",44.7405405405405
"Rukungiri","Seasonal Crop Income","2019","Base","RTV",37.75
"Rukungiri","Seasonal Crop Income","2019","Base","Control",94.3118589503631
"Rukungiri","Season1 Value","2019","Base","RTV",67.3
"Rukungiri","Season1 Value","2019","Base","Control",82.8000524069776
"Rukungiri","Season2 Value","2019","Base","RTV",51.66
"Rukungiri","Season2 Value","2019","Base","Control",78.2335479523845
"Rukungiri","Perennial Value","2019","Base","RTV",168.23
"Rukungiri","Perennial Value","2019","Base","Control",162.786883282174
"Rukungiri","Annual Agric Value","2019","Base","RTV",287.19
"Rukungiri","Annual Agric Value","2019","Base","Control",323.820483641536
"Rukungiri","Livestock Income","2019","Base","RTV",19.42
"Rukungiri","Livestock Income","2019","Base","Control",36.2057370667066
"Rukungiri","Livestock Income/ Production","2019","Base","RTV",21.82
"Rukungiri","Livestock Income/ Production","2019","Base","Control",41.8627027027027
"Rukungiri","Livestock Value","2019","Base","RTV",95.81
"Rukungiri","Livestock Value","2019","Base","Control",169.101227820618
"Rukungiri","PPI","2019","Base","RTV",30.09
"Rukungiri","PPI","2019","Base","Control",27.09
"Kanungu","Salaried Employment","2020","Base","RTV",22.35
"Kanungu","Salaried Employment","2020","Base","Control",18.5201595037661
"Kanungu","Self-Income / Business","2020","Base","RTV",57.71
"Kanungu","Self-Income / Business","2020","Base","Control",23.1564761482794
"Kanungu","Casual Labour Income","2020","Base","RTV",81.5
"Kanungu","Casual Labour Income","2020","Base","Control",109.947939743022
"Kanungu","Remit and Gifts Income","2020","Base","RTV",18.58
"Kanungu","Remit and Gifts Income","2020","Base","Control",14.6411165263624
"Kanungu","Rent Income","2020","Base","RTV",5.71
"Kanungu","Rent Income","2020","Base","Control",8.05937084625609
