"","District","Income Stream","Cohort","Year","Amount","Status"
"1","Kisoro","Salaried Employment","2018","Base","0","RTV"
"2","Kanungu","Salaried Employment","2018","Base","9.66","RTV"
"3","Kisoro","Salaried Employment","2019","Base","4.1900000000000004","RTV"
"4","Kanu","Salaried Employment","2019","Base","18.53","RTV"
"5","Ruk","Salaried Employment","2019","Base","20.420000000000002","RTV"
"6","Kisoro","Salaried Employment","2020","Base","10.88","RTV"
"7","Kanu","Salaried Employment","2020","Base","22.35","RTV"
"8","Ruk","Salaried Employment","2020","Base","9.57","RTV"
"9","Mit","Salaried Employment","2020","Base","23.53","RTV"
"10","Kag","Salaried Employment","2020","Base","0","RTV"
"11","Kanu","Salaried Employment","2021","Base","8.07","RTV"
"12","Ruk","Salaried Employment","2021","Base","21.92","RTV"
"13","Mit","Salaried Employment","2021","Base","9.8000000000000007","RTV"
"14","Rubanda","Salaried Employment","2021","Base","7.25","RTV"
"15","Kanungu","Salaried Employment","2022","Base","14.63","RTV"
"16","Rukungiri","Salaried Employment","2022","Base","9.85","RTV"
"17","Mitooma","Salaried Employment","2022","Base","4.32","RTV"
"18","Rubanda","Salaried Employment","2022","Base","28.06","RTV"
"19","Rubirizi","Salaried Employment","2022","Base","8.26","RTV"
"20","Kyenjojo","Salaried Employment","2022","Base","7.22","RTV"
"21","Kagadi GAC","Salaried Employment","2022","Base","2.64","RTV"
"22","Kagadi NonGAC","Salaried Employment","2022","Base","4.25","RTV"
"23","Kaliro","Salaried Employment","2022","Base","8.01","RTV"
"24","Kisoro","Salaried Employment","2022","Base",NA,"RTV"
"25","Kisoro","Salaried Employment","2018","Base","18.48","RTV"
"26","Kanungu","Salaried Employment","2018","Base","23.2","RTV"
"27","Kisoro","Salaried Employment","2019","Base","38.5","RTV"
"28","Kanu","Salaried Employment","2019","Base","39.369999999999997","RTV"
"29","Ruk","Salaried Employment","2019","Base","11.09","RTV"
"30","Kisoro","Salaried Employment","2020","Base","15.85","RTV"
"31","Kanu","Salaried Employment","2020","Base","34.92","RTV"
"32","Ruk","Salaried Employment","2020","Base","26.41","RTV"
"33","Mitooma","Salaried Employment","2020","Base","39.35","RTV"
"34","Kagadi","Salaried Employment","2020","Base","14.42","RTV"
"35","Kanu","Salaried Employment","2021","Base","53.27","RTV"
"36","Ruk","Salaried Employment","2021","Base","28.5","RTV"
"37","Mit","Salaried Employment","2021","Base","28.5","RTV"
"38","Rubanda","Salaried Employment","2021","Base","26.51","RTV"
"39","Kanungu","Salaried Employment","2022","Base","40.159999999999997","RTV"
"40","Rukungiri","Salaried Employment","2022","Base","52.48","RTV"
"41","Mitooma","Salaried Employment","2022","Base","56.26","RTV"
"42","Rubanda","Salaried Employment","2022","Base","35.42","RTV"
"43","Rubirizi","Salaried Employment","2022","Base","38.869999999999997","RTV"
"44","Kyenjojo","Salaried Employment","2022","Base","22.33","RTV"
"45","Kagadi GAC","Salaried Employment","2022","Base","12.13","RTV"
"46","Kagadi NonGAC","Salaried Employment","2022","Base","19.22","RTV"
"47","Kaliro","Salaried Employment","2022","Base","23.99","RTV"
"48","Kisoro","Salaried Employment","2022","Base",NA,"RTV"
"49","Kisoro","Salaried Employment","2018","Base","61.7","RTV"
"50","Kanungu","Salaried Employment","2018","Base","30.71","RTV"
"51","Kisoro","Salaried Employment","2019","Base","20.46","RTV"
"52","Kanu","Salaried Employment","2019","Base","18.23","RTV"
"53","Ruk","Salaried Employment","2019","Base","32.64","RTV"
"54","Kisoro","Salaried Employment","2020","Base","27.58","RTV"
"55","Kanu","Salaried Employment","2020","Base","60.09","RTV"
"56","Ruk","Salaried Employment","2020","Base","37.39","RTV"
"57","Mitooma","Salaried Employment","2020","Base","40.369999999999997","RTV"
"58","Kagadi","Salaried Employment","2020","Base","17.920000000000002","RTV"
"59","Kanu","Salaried Employment","2021","Base","56.86","RTV"
"60","Ruk","Salaried Employment","2021","Base","42.85","RTV"
"61","Mit","Salaried Employment","2021","Base","44.44","RTV"
"62","Rubanda","Salaried Employment","2021","Base","49.01","RTV"
"63","Kanungu","Salaried Employment","2022","Base","50.59","RTV"
"64","Rukungiri","Salaried Employment","2022","Base","44.45","RTV"
"65","Mitooma","Salaried Employment","2022","Base","56.72","RTV"
"66","Rubanda","Salaried Employment","2022","Base","42.83","RTV"
"67","Rubirizi","Salaried Employment","2022","Base","42.39","RTV"
"68","Kyenjojo","Salaried Employment","2022","Base","23.02","RTV"
"69","Kagadi GAC","Salaried Employment","2022","Base","18.63","RTV"
"70","Kagadi NonGAC","Salaried Employment","2022","Base","22.55","RTV"
"71","Kaliro","Salaried Employment","2022","Base","24.26","RTV"
"72","Kisoro","Salaried Employment","2022","Base",NA,"RTV"
"73","Kisoro","Salaried Employment","2018","Base","44.3","RTV"
"74","Kanungu","Salaried Employment","2018","Base","36.24","RTV"
"75","Kisoro","Salaried Employment","2019","Base","22.77","RTV"
"76","Kanu","Salaried Employment","2019","Base","25.56","RTV"
"77","Ruk","Salaried Employment","2019","Base","55.44","RTV"
"78","Kisoro","Salaried Employment","2020","Base","28.89","RTV"
"79","Kanu","Salaried Employment","2020","Base","82.48","RTV"
"80","Ruk","Salaried Employment","2020","Base","56.39","RTV"
"81","Mitooma","Salaried Employment","2020","Base","49.31","RTV"
"82","Kagadi","Salaried Employment","2020","Base","16.649999999999999","RTV"
"83","Kanu","Salaried Employment","2021","Base","60.688580000000002","RTV"
"84","Ruk","Salaried Employment","2021","Base","48.068587460000003","RTV"
"85","Mit","Salaried Employment","2021","Base","46.69450792","RTV"
"86","Rubanda","Salaried Employment","2021","Base","56.148007","RTV"
"87","Kisoro","Salaried Employment","2018","Base","51.37","RTV"
"88","Kanungu","Salaried Employment","2018","Base","70.040000000000006","RTV"
"89","Kisoro","Salaried Employment","2019","Base","29.3","RTV"
"90","Kanu","Salaried Employment","2019","Base","34.090000000000003","RTV"
"91","Ruk","Salaried Employment","2019","Base","55.81","RTV"
"92","Kisoro","Salaried Employment","2020","Base","28.188714999999998","RTV"
"93","Kanu","Salaried Employment","2020","Base","83.870588999999995","RTV"
"94","Ruk","Salaried Employment","2020","Base","53.770553999999997","RTV"
"95","Mitooma","Salaried Employment","2020","Base","57.124324000000001","RTV"
"96","Kagadi","Salaried Employment","2020","Base","16.10412256","RTV"
"97","Kisoro","Salaried Employment","2018","Base","59.27","RTV"
"98","Kanungu","Salaried Employment","2018","Base","71.2","RTV"
"99","Kisoro","Salaried Employment","2019","Base","22.05","RTV"
"100","Kanu","Salaried Employment","2019","Base","32.119999999999997","RTV"
"101","Ruk","Salaried Employment","2019","Base","58.8","RTV"
"102","Kisoro","Salaried Employment","2018","Base",NA,"RTV"
"103","Kanungu","Salaried Employment","2018","Base",NA,"RTV"
"104","Kisoro","Self-Income / Business","2018","Base","11.32","RTV"
"105","Kanungu","Self-Income / Business","2018","Base","155.18","RTV"
"106","Kisoro","Self-Income / Business","2019","Base","40.659999999999997","RTV"
"107","Kanu","Self-Income / Business","2019","Base","36.32","RTV"
"108","Ruk","Self-Income / Business","2019","Base","47.18","RTV"
"109","Kisoro","Self-Income / Business","2020","Base","35.57","RTV"
"110","Kanu","Self-Income / Business","2020","Base","57.71","RTV"
"111","Ruk","Self-Income / Business","2020","Base","42.42","RTV"
"112","Mit","Self-Income / Business","2020","Base","37.869999999999997","RTV"
"113","Kag","Self-Income / Business","2020","Base","9.83","RTV"
"114","Kanu","Self-Income / Business","2021","Base","27.81","RTV"
"115","Ruk","Self-Income / Business","2021","Base","47.53","RTV"
"116","Mit","Self-Income / Business","2021","Base","45.05","RTV"
"117","Rubanda","Self-Income / Business","2021","Base","14.93","RTV"
"118","Kanungu","Self-Income / Business","2022","Base","23.34","RTV"
"119","Rukungiri","Self-Income / Business","2022","Base","8.3699999999999992","RTV"
"120","Mitooma","Self-Income / Business","2022","Base","26.44","RTV"
"121","Rubanda","Self-Income / Business","2022","Base","21.84","RTV"
"122","Rubirizi","Self-Income / Business","2022","Base","24.63","RTV"
"123","Kyenjojo","Self-Income / Business","2022","Base","17.63","RTV"
"124","Kagadi GAC","Self-Income / Business","2022","Base","20.6","RTV"
"125","Kagadi NonGAC","Self-Income / Business","2022","Base","9.51","RTV"
"126","Kaliro","Self-Income / Business","2022","Base","25.74","RTV"
"127","Kisoro","Self-Income / Business","2022","Base",NA,"RTV"
"128","Kisoro","Self-Income / Business","2018","Base","67.53","RTV"
"129","Kanungu","Self-Income / Business","2018","Base","49.05","RTV"
"130","Kisoro","Self-Income / Business","2019","Base","44.31","RTV"
"131","Kanu","Self-Income / Business","2019","Base","38.47","RTV"
"132","Ruk","Self-Income / Business","2019","Base","28.84","RTV"
"133","Kisoro","Self-Income / Business","2020","Base","44.19","RTV"
"134","Kanu","Self-Income / Business","2020","Base","46.6","RTV"
"135","Ruk","Self-Income / Business","2020","Base","48.08","RTV"
"136","Mitooma","Self-Income / Business","2020","Base","56.82","RTV"
"137","Kagadi","Self-Income / Business","2020","Base","99.98","RTV"
"138","Kanu","Self-Income / Business","2021","Base","53.34","RTV"
"139","Ruk","Self-Income / Business","2021","Base","70.42","RTV"
"140","Mit","Self-Income / Business","2021","Base","94.65","RTV"
"141","Rubanda","Self-Income / Business","2021","Base","41.11","RTV"
"142","Kanungu","Self-Income / Business","2022","Base","57.52","RTV"
"143","Rukungiri","Self-Income / Business","2022","Base","24.77","RTV"
"144","Mitooma","Self-Income / Business","2022","Base","45.24","RTV"
"145","Rubanda","Self-Income / Business","2022","Base","36.39","RTV"
"146","Rubirizi","Self-Income / Business","2022","Base","30.74","RTV"
"147","Kyenjojo","Self-Income / Business","2022","Base","25.54","RTV"
"148","Kagadi GAC","Self-Income / Business","2022","Base","30.03","RTV"
"149","Kagadi NonGAC","Self-Income / Business","2022","Base","19.89","RTV"
"150","Kaliro","Self-Income / Business","2022","Base","50.34","RTV"
"151","Kisoro","Self-Income / Business","2022","Base",NA,"RTV"
"152","Kisoro","Self-Income / Business","2018","Base","72.3","RTV"
"153","Kanungu","Self-Income / Business","2018","Base","49.33","RTV"
"154","Kisoro","Self-Income / Business","2019","Base","41.56","RTV"
"155","Kanu","Self-Income / Business","2019","Base","43.34","RTV"
"156","Ruk","Self-Income / Business","2019","Base","61.15","RTV"
"157","Kisoro","Self-Income / Business","2020","Base","79.650000000000006","RTV"
"158","Kanu","Self-Income / Business","2020","Base","96.22","RTV"
"159","Ruk","Self-Income / Business","2020","Base","73.87","RTV"
"160","Mitooma","Self-Income / Business","2020","Base","98.97","RTV"
"161","Kagadi","Self-Income / Business","2020","Base","104.55","RTV"
"162","Kanu","Self-Income / Business","2021","Base","82.43","RTV"
"163","Ruk","Self-Income / Business","2021","Base","83.79","RTV"
"164","Mit","Self-Income / Business","2021","Base","113.17","RTV"
"165","Rubanda","Self-Income / Business","2021","Base","61.49","RTV"
"166","Kanungu","Self-Income / Business","2022","Base","70.430000000000007","RTV"
"167","Rukungiri","Self-Income / Business","2022","Base","70.989999999999995","RTV"
"168","Mitooma","Self-Income / Business","2022","Base","78.95","RTV"
"169","Rubanda","Self-Income / Business","2022","Base","56.66","RTV"
"170","Rubirizi","Self-Income / Business","2022","Base","51.12","RTV"
"171","Kyenjojo","Self-Income / Business","2022","Base","54.52","RTV"
"172","Kagadi GAC","Self-Income / Business","2022","Base","45.42","RTV"
"173","Kagadi NonGAC","Self-Income / Business","2022","Base","35.78","RTV"
"174","Kaliro","Self-Income / Business","2022","Base","65.17","RTV"
"175","Kisoro","Self-Income / Business","2022","Base",NA,"RTV"
"176","Kisoro","Self-Income / Business","2018","Base","100.86","RTV"
"177","Kanungu","Self-Income / Business","2018","Base","59.81","RTV"
"178","Kisoro","Self-Income / Business","2019","Base","59.94","RTV"
"179","Kanu","Self-Income / Business","2019","Base","94.28","RTV"
"180","Ruk","Self-Income / Business","2019","Base","76.56","RTV"
"181","Kisoro","Self-Income / Business","2020","Base","96.56","RTV"
"182","Kanu","Self-Income / Business","2020","Base","108.69","RTV"
"183","Ruk","Self-Income / Business","2020","Base","70.150000000000006","RTV"
"184","Mitooma","Self-Income / Business","2020","Base","122.34","RTV"
"185","Kagadi","Self-Income / Business","2020","Base","123.14","RTV"
"186","Kanu","Self-Income / Business","2021","Base","91.245419999999996","RTV"
"187","Ruk","Self-Income / Business","2021","Base","88.116245960000001","RTV"
"188","Mit","Self-Income / Business","2021","Base","123.77138650000001","RTV"
"189","Rubanda","Self-Income / Business","2021","Base","74.247681","RTV"
