"","Income Streams","RTV 2018 Cohort-Kisoro...2","RTV 2018 Cohort-Kanungu...3","RTV 2019 Cohort Kisoro...4","RTV 2019 Kanu...5","RTV 2019 Ruk...6","RTV 2020 Cohort Kisoro...7","RTV 2020 Kanu...8","RTV 2020 Ruk...9","RTV 2020 Mit","RTV 2020 Kag","RTV 2021 Kanu...12","RTV 2021 Ruk...13","RTV 2021 Mit...14","RTV 2021 Rubanda...15","RTV 2022 Kanungu...16","RTV 2022 Rukungiri...17","RTV 2022 Mitooma...18","RTV 2022 Rubanda...19","RTV 2022 Rubirizi...20","RTV 2022 Kyenjojo...21","RTV 2022 Kagadi GAC...22","RTV 2022 Kagadi Non-GAC...23","RTV 2022 Kaliro...24","RTV 2022 Kisoro...25","RTV 2018 Cohort-Kisoro...26","RTV 2018 Cohort-Kanungu...27","RTV 2019 Cohort Kisoro...28","RTV 2019 Kanu...29","RTV 2019 Ruk...30","RTV 2020 Cohort Kisoro...31","RTV 2020 Kanu...32","RTV 2020 Ruk...33","RTV 2020 Mitooma...34","RTV 2020 Kagadi...35","RTV 2021 Kanu...36","RTV 2021 Ruk...37","RTV 2021 Mit...38","RTV 2021 Rubanda...39","RTV 2022 Kanungu...40","RTV 2022 Rukungiri...41","RTV 2022 Mitooma...42","RTV 2022 Rubanda...43","RTV 2022 Rubirizi...44","RTV 2022 Kyenjojo...45","RTV 2022 Kagadi GAC...46","RTV 2022 Kagadi Non-GAC...47","RTV 2022 Kaliro...48","RTV 2022 Kisoro...49","RTV 2018 Cohort-Kisoro...50","RTV 2018 Cohort-Kanungu...51","RTV 2019 Cohort Kisoro...52","RTV 2019 Kanu...53","RTV 2019 Ruk...54","RTV 2020 Cohort Kisoro...55","RTV 2020 Kanu...56","RTV 2020 Ruk...57","RTV 2020 Mitooma...58","RTV 2020 Kagadi...59","RTV 2021 Kanu...60","RTV 2021 Ruk...61","RTV 2021 Mit...62","RTV 2021 Rubanda...63","RTV 2022 Kanungu...64","RTV 2022 Rukungiri...65","RTV 2022 Mitooma...66","RTV 2022 Rubanda...67","RTV 2022 Rubirizi...68","RTV 2022 Kyenjojo...69","RTV 2022 Kagadi GAC...70","RTV 2022 Kagadi Non-GAC...71","RTV 2022 Kaliro...72","RTV 2022 Kisoro...73","RTV 2018 Cohort-Kisoro...74","RTV 2018 Cohort-Kanungu...75","RTV 2019 Cohort Kisoro...76","RTV 2019 Kanu...77","RTV 2019 Ruk...78","RTV 2020 Cohort Kisoro...79","RTV 2020 Kanu...80","RTV 2020 Ruk...81","RTV 2020 Mitooma...82","RTV 2020 Kagadi...83","RTV 2021 Kanu...84","RTV 2021 Ruk...85","RTV 2021 Mit...86","RTV 2021 Rubanda...87","RTV 2018 Cohort-Kisoro...88","RTV 2018 Cohort-Kanungu...89","RTV 2019 Cohort Kisoro...90","RTV 2019 Kanu...91","RTV 2019 Ruk...92","RTV 2020 Cohort Kisoro...93","RTV 2020 Kanu...94","RTV 2020 Ruk...95","RTV 2020 Mitooma...96","RTV 2020 Kagadi...97","RTV 2018 Cohort-Kisoro...98","RTV 2018 Cohort-Kanungu...99","RTV 2019 Cohort Kisoro...100","RTV 2019 Kanu...101","RTV 2019 Ruk...102","RTV 2018 Cohort-Kisoro...103","RTV 2018 Cohort-Kanungu...104"
"1","Income Streams","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Base","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 1","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 2","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 3","Year 4","Year 4","Year 4","Year 4","Year 4","Year 4","Year 4","Year 4","Year 4","Year 4","Year 5","Year 5","Year 5","Year 5","Year 5","Year 6","Year 6"
"2","Salaried Employment","0","9.66","4.1900000000000004","18.53","20.420000000000002","10.88","22.35","9.57","23.53","0","8.07","21.92","9.8000000000000007","7.25","14.63","9.85","4.32","28.06","8.26","7.22","2.64","4.25","8.01",NA,"18.48","23.2","38.5","39.369999999999997","11.09","15.85","34.92","26.41","39.35","14.42","53.27","28.5","28.5","26.51","40.159999999999997","52.48","56.26","35.42","38.869999999999997","22.33","12.13","19.22","23.99",NA,"61.7","30.71","20.46","18.23","32.64","27.58","60.09","37.39","40.369999999999997","17.920000000000002","56.86","42.85","44.44","49.01","50.59","44.45","56.72","42.83","42.39","23.02","18.63","22.55","24.26",NA,"44.3","36.24","22.77","25.56","55.44","28.89","82.48","56.39","49.31","16.649999999999999","60.688580000000002","48.068587460000003","46.69450792","56.148007","51.37","70.040000000000006","29.3","34.090000000000003","55.81","28.188714999999998","83.870588999999995","53.770553999999997","57.124324000000001","16.10412256","59.27","71.2","22.05","32.119999999999997","58.8",NA,NA
"3","Self-Income / Business","11.32","155.18","40.659999999999997","36.32","47.18","35.57","57.71","42.42","37.869999999999997","9.83","27.81","47.53","45.05","14.93","23.34","8.3699999999999992","26.44","21.84","24.63","17.63","20.6","9.51","25.74",NA,"67.53","49.05","44.31","38.47","28.84","44.19","46.6","48.08","56.82","99.98","53.34","70.42","94.65","41.11","57.52","24.77","45.24","36.39","30.74","25.54","30.03","19.89","50.34",NA,"72.3","49.33","41.56","43.34","61.15","79.650000000000006","96.22","73.87","98.97","104.55","82.43","83.79","113.17","61.49","70.430000000000007","70.989999999999995","78.95","56.66","51.12","54.52","45.42","35.78","65.17",NA,"100.86","59.81","59.94","94.28","76.56","96.56","108.69","70.150000000000006","122.34","123.14","91.245419999999996","88.116245960000001","123.77138650000001","74.247681","102.85","80.97","65.319999999999993","100.99","90.62","98.518255100000005","93.853583","72.995232999999999","100.042523","117.1129655","110.55","93.11","70.540000000000006","106.98","100",NA,NA
"4","Casual Labour Income","99.6","0","51.56","60.72","47.22","61.84","81.5","71.55","34.869999999999997","68.27","47.41","24.59","41.6","55.89","80.39","52.02","50.56","76.010000000000005","67.61","66.91","44.54","71.48","84.9",NA,"154.29","157.83000000000001","155.80000000000001","113.13","104.23","170.82","131.47999999999999","173.04","122.59","64.61","71.849999999999994","96.4","74.86","59.73","61.94","78.28","63.94","66.680000000000007","59.55","55.2","34.130000000000003","52.58","73.69",NA,"199.83","123.43","162.27000000000001","114.31","142.53","104.93","90.41","116.87","90.12","122.75","69.67","84.12","81.72","52.68","47.85","62.21","54.93","57.57","46.66","46.12","30.24","40.159999999999997","64.91",NA,"199.75","141.09","71.37","89.35","88.14","90.86","66.739999999999995","109.76","80.05","92.28","58.315219999999997","71.676015640000003","50.96682689","47.062964999999998","88.09","102.55","68.41","74.069999999999993","84.82","71.589284000000006","83.902027000000004","78.280097999999995","62.480721000000003","71.849545399999997","83.9","88.62","65.02","71.89","62.81",NA,NA
"5","Remit and Gifts Income","0","0","4.78","6.14","5.47","2.27","18.579999999999998","8.93","9.0299999999999994","0.99","2.1","14.03","5.38","12.63","18.32","3.59","3.92","11.31","5.91","6.03","6.34","4.87","8.1",NA,"15.88","20.58","15.43","20.85","11.51","21.63","11.79","14.58","11.56","1.77","29.66","36.299999999999997","39.39","27.22","41.23","32.4","51.02","53.58","38.24","13.91","12.76","15.54","20.07",NA,"21.56","15.53","13.11","9.86","13.9","30.94","28.7","30.15","42.01","14.93","37.39","41.87","35.130000000000003","33.9","47.12","39.090000000000003","69.16","37.82","42.81","18.71","17.5","20.059999999999999","37.380000000000003",NA,"25.12","6.14","38.04","26.41","29.24","33.15","34.119999999999997","45.83","47.28","10.039999999999999","39.666240000000002","44.323899369999999","39.09726053","36.059260999999999","36.25","22.78","31.93","33.04","28.09","33.837126599999998","35.257249000000002","49.956530000000001","24.225946","15.45273384","34.22","25.78","23.15","44.29","25.89",NA,NA
"6","Rent Income","0.86","1.1499999999999999","1.1100000000000001","1.81","0.86","3.65","5.71","2.35","2.5299999999999998","4.93","1.75","3.6","4.82","0.3","7.99","1.55","3.2","2.41","2.9","4.3499999999999996","4.8600000000000003","4.74","3.66",NA,"3.46","10.43","1.19","4.1900000000000004","3.71","6.43","8.34","3.62","11.34","5.24","8.58","6.33","4.1100000000000003","2.57","14.99","3.91","6.95","11.35","8.64","10.16","11.2","11.79","9.77",NA,"5.64","5.94","3.72","9.24","8.0500000000000007","5.8","11.8","5.87","4.68","3.37","8.58","7.77","5.46","7.15","13.03","8.6","13.85","8.06","7.87","17.18","17.27","13.32","7.82",NA,"3.98","8.94","3.72","10.73","8.7200000000000006","4.46","14.08","10.42","5.56","13.88","9.1199200000000005","9.4520227800000001","8.8277782200000008","8.5445010000000003","10.24","10.029999999999999","5.61","6.42","6.74","2.5960171000000001","9.4969999999999999","11.016610999999999","6.0958560000000004","15.518744549999999","9.49","10.62","3.17","5.82","6.17",NA,NA
"7","Perennial Crop Income","5.56","0","4.38","80.17","85.92","8.8000000000000007","40.130000000000003","37.93","67.849999999999994","35.380000000000003","41.86","55.17","33.49","3.42","71.14","37.409999999999997","55.64","12.31","61.73","21.57","19.73","25.12","3.49",NA,"111.91","70.78","30.85","129.43","83.45","60.98","98.15","64.34","146.47999999999999","67.09","154.16999999999999","143.1","126.15","14.56","190.79","126.95","122.37","62.07","128.88","60.2","61.07","68.349999999999994","8.59",NA,"68.56","76.31","80.489999999999995","108.73","165.7","94.63","145.84","108.49","197.67","69.64","202.31","188.4","172.76","25.74","209.87","216","221.88","83.05","174.94","104.48","120.7","126.55","50.14",NA,"109.96","113.95","103.05","158.69999999999999","177.93","139.56","210.85","214.84","261.95999999999998","123.89","315.04705999999999","305.62204657000001","271.4363985","67.687374000000005","121.62","143.62","114.46","187.54","214.16","185.9320768","275.95267899999999","270.11587800000001","336.04201799999998","166.19242745","129.13999999999999","212.96","132.16999999999999","234.12","242.18",NA,NA
"8","Seasonal Crop Income","53.6","88.33","121.17","52.16","37.75","75.03","47.38","17.18","17.260000000000002","129.66","13.64","42.67","35.130000000000003","77.319999999999993","33.03","25.54","15.46","92.11","56.97","97.1","132.51","79.8","51.75",NA,"40.409999999999997","89.8","181.98","84.54","131.34","243.28","145.12","101.22","30.78","224.07","98.72","74.25","43.01","132.44999999999999","66.87","132.41","67.72","167.47","126.79","192.33","268.08999999999997","204.23","95.93",NA,"117.2","83.67","337.06","224.97","191.15","238.09","190.68","159.07","58.61","250.7","149.66","126.95","82.98","254.82","147.47999999999999","186.55","88.67","243.12","214.57","272.54000000000002","330.76","341.69","182.66",NA,"143.5","164.9","444.7","196.19","225.48","322.38","216.15","206.94","73.41","321.17","289.81601999999998","197.08377952999999","210.01452739999999","369.31070099999999","230.89","186.32","536.49","237.96","249.89","343.06069230000003","247.97608199999999","283.83338600000002","95.547134999999997","414.65241623999998","262.02999999999997","231.83","566.76","275.36","302.12",NA,NA
"9","Season1 Value","116.03","85.6","126.45","77.38","67.3","97.67","50.21","44.92","44.15","131.47","76.88","82.89","70.569999999999993","120.25","67.58","49.24","46.18","120.5","64.19","121.3","125.94","78.94","107",NA,"156.16","102.89","170.51","125.64","153.21","286.49","181.84","173.06","99.99","216.48","150.96","104.45","79.099999999999994","147.57","131.16","196.78","149.32","228.45","164.77","217.24","232.32","197.56","162.97999999999999",NA,"161.06","126.94","319.01","247.18","219.09","234.75","199.72","180.11","99.13","244.46","222.68","181.34","169.32","295.72000000000003","223.36","217.13","175.45","300.97000000000003","222.62","286.23","334.91","296.2","238.04",NA,"190.6","182.59","373.87","231.3","232.55","288.33","292.87","236.05","169.69","358.79","282.97904999999997","226.75050994","233.081412","354.29375800000003","232.85","195.46","459.87","297.82","291.23","349.08902319999999","314.94618100000002","301.16899799999999","264.45909899999998","376.32911944","291.52","251.09","496.13","359.03","354.25",NA,NA
"10","Season2 Value","97.28","86.55","114.86","71.959999999999994","51.66","83.48","79.040000000000006","71.510000000000005","35.729999999999997","104.92","28.09","71.47","51.48","98.67","57.49","40.89","39.270000000000003","111.64","63.44","79.23","85.99","67.33","40.32",NA,"143.06","113.89","201.43","124.18","134.33000000000001","222.61","189.34","155.55000000000001","60.57","186.2","117.04","115.57","84.38","104.77","121.24","166.97","112.5","197.05","161.04","161.38","195.44","161.80000000000001","120.79",NA,"148.99","116.91","270.39999999999998","189.87","205.36","187.15","184.69","171.14","87.88","182.92","174.45","149.49","114.5","264.45","198.03","183.38","130.58000000000001","279.43","200.09","250.08","269.39","262.66000000000003","180.18",NA,"160.62","146.69","284.3","147.86000000000001","208.63","269.27999999999997","244.16","265.10000000000002","169.71","262.31","249.3295","223.96912714999999","191.41162370000001","297.18057099999999","210","158.08000000000001","316.92","223.39","229.46","335.33428170000002","251.17109099999999","275.06801899999999","258.864036","312.21755510999998","252.55","203.44","356.55","250","240.83",NA,NA
