"District","Income Streams","Cohort","Year","RTV","Control"
"Kanungu","Salaried Employment","2018","Base",9.66,11.2072072072072
"Kanungu","Self-Income / Business","2018","Base",155.18,32.5693693693694
"Kanungu","Casual Labour Income","2018","Base",0,97.6374774774775
"Kanungu","Remit and Gifts Income","2018","Base",0,5.06666666666667
"Kanungu","Rent Income","2018","Base",1.15,1.44144144144144
"Kanungu","Perennial Crop Income","2018","Base",0,0
"Kanungu","Seasonal Crop Income","2018","Base",88.33,108.204408072072
"Kanungu","Season1 Value","2018","Base",85.6,71.4825866666667
"Kanungu","Season2 Value","2018","Base",86.55,58.2983063063063
"Kanungu","Perennial Value","2018","Base",55.78,117.36400836036
"Kanungu","Annual Agric Value","2018","Base",227.93,247.144901333333
"Kanungu","Livestock Income","2018","Base",31.17,20.3661261261261
"Kanungu","Livestock Income/ Production","2018","Base",36.8,23.5517117117117
"Kanungu","Livestock Value","2018","Base",88.61,99.5113513513514
"Kanungu","PPI","2018","Base",27.31,30.02
"Kanungu","Salaried Employment","2019","Base",18.53,10.2043872126975
"Kanungu","Self-Income / Business","2019","Base",36.32,41.4647001572209
"Kanungu","Casual Labour Income","2019","Base",60.72,130.451448678595
"Kanungu","Remit and Gifts Income","2019","Base",6.14,4.97566818896459
"Kanungu","Rent Income","2019","Base",1.81,1.50108557310773
"Kanungu","Perennial Crop Income","2019","Base",80.17,44.7405405405405
"Kanungu","Seasonal Crop Income","2019","Base",52.16,94.3118589503631
"Kanungu","Season1 Value","2019","Base",77.38,82.8000524069776
"Kanungu","Season2 Value","2019","Base",71.96,78.2335479523845
"Kanungu","Perennial Value","2019","Base",95.46,162.786883282174
"Kanungu","Annual Agric Value","2019","Base",244.8,323.820483641536
"Kanungu","Livestock Income","2019","Base",22,36.2057370667066
"Kanungu","Livestock Income/ Production","2019","Base",26.16,41.8627027027027
"Kanungu","Livestock Value","2019","Base",86.26,169.101227820618
"Kanungu","PPI","2019","Base",31.23,27.09
"Rukungiri","Salaried Employment","2019","Base",20.42,10.2043872126975
"Rukungiri","Self-Income / Business","2019","Base",47.18,41.4647001572209
"Rukungiri","Casual Labour Income","2019","Base",47.22,130.451448678595
"Rukungiri","Remit and Gifts Income","2019","Base",5.47,4.97566818896459
"Rukungiri","Rent Income","2019","Base",0.86,1.50108557310773
"Rukungiri","Perennial Crop Income","2019","Base",85.92,44.7405405405405
"Rukungiri","Seasonal Crop Income","2019","Base",37.75,94.3118589503631
"Rukungiri","Season1 Value","2019","Base",67.3,82.8000524069776
"Rukungiri","Season2 Value","2019","Base",51.66,78.2335479523845
"Rukungiri","Perennial Value","2019","Base",168.23,162.786883282174
"Rukungiri","Annual Agric Value","2019","Base",287.19,323.820483641536
"Rukungiri","Livestock Income","2019","Base",19.42,36.2057370667066
"Rukungiri","Livestock Income/ Production","2019","Base",21.82,41.8627027027027
"Rukungiri","Livestock Value","2019","Base",95.81,169.101227820618
"Rukungiri","PPI","2019","Base",30.09,27.09
"Kanungu","Salaried Employment","2020","Base",22.35,18.5201595037661
"Kanungu","Self-Income / Business","2020","Base",57.71,23.1564761482794
"Kanungu","Casual Labour Income","2020","Base",81.5,109.947939743022
"Kanungu","Remit and Gifts Income","2020","Base",18.58,14.6411165263624
"Kanungu","Rent Income","2020","Base",5.71,8.05937084625609
"Kanungu","Perennial Crop Income","2020","Base",40.13,61.2816422980357
"Kanungu","Seasonal Crop Income","2020","Base",47.38,58.0029537734456
"Kanungu","Season1 Value","2020","Base",50.21,61.6609274848619
"Kanungu","Season2 Value","2020","Base",79.04,80.6434057007828
"Kanungu","Perennial Value","2020","Base",79.41,166.58733089647
"Kanungu","Annual Agric Value","2020","Base",208.66,308.891664082115
"Kanungu","Livestock Income","2020","Base",15.31,28.8015064244572
"Kanungu","Livestock Income/ Production","2020","Base",18.62,31.0308669325063
"Kanungu","Livestock Value","2020","Base",82.02,127.555752473785
"Kanungu","PPI","2020","Base",29.01,29.64
"Rukungiri","Salaried Employment","2020","Base",9.57,18.5201595037661
"Rukungiri","Self-Income / Business","2020","Base",42.42,23.1564761482794
"Rukungiri","Casual Labour Income","2020","Base",71.55,109.947939743022
"Rukungiri","Remit and Gifts Income","2020","Base",8.93,14.6411165263624
"Rukungiri","Rent Income","2020","Base",2.35,8.05937084625609
"Rukungiri","Perennial Crop Income","2020","Base",37.93,61.2816422980357
"Rukungiri","Seasonal Crop Income","2020","Base",17.18,58.0029537734456
"Rukungiri","Season1 Value","2020","Base",44.92,61.6609274848619
"Rukungiri","Season2 Value","2020","Base",71.51,80.6434057007828
"Rukungiri","Perennial Value","2020","Base",94.7,166.58733089647
"Rukungiri","Annual Agric Value","2020","Base",211.14,308.891664082115
"Rukungiri","Livestock Income","2020","Base",12.65,28.8015064244572
"Rukungiri","Livestock Income/ Production","2020","Base",14.58,31.0308669325063
"Rukungiri","Livestock Value","2020","Base",74,127.555752473785
"Rukungiri","PPI","2020","Base",31.67,29.64
"Mitooma","Salaried Employment","2020","Base",23.53,14.3511216599035
"Mitooma","Self-Income / Business","2020","Base",37.87,42.9798637164076
"Mitooma","Casual Labour Income","2020","Base",34.87,37.5527141872751
"Mitooma","Remit and Gifts Income","2020","Base",9.03,5.43603093178164
"Mitooma","Rent Income","2020","Base",2.53,0.976341780874359
"Mitooma","Perennial Crop Income","2020","Base",67.85,53.1724217134982
"Mitooma","Seasonal Crop Income","2020","Base",17.26,14.0872827501723
"Mitooma","Season1 Value","2020","Base",44.15,42.7828650179925
"Mitooma","Season2 Value","2020","Base",35.73,35.0254957507082
"Mitooma","Perennial Value","2020","Base",147.85,122.244851083378
"Mitooma","Annual Agric Value","2020","Base",227.73,200.053211852079
"Mitooma","Livestock Income","2020","Base",21.67,14.2018222188194
"Mitooma","Livestock Income/ Production","2020","Base",24.2,15.2584028787995
"Mitooma","Livestock Value","2020","Base",124.73,110.32156802695
"Mitooma","PPI","2020","Base",31.61,32.7
"Kagadi","Salaried Employment","2020","Base",0,14.3511216599035
"Kagadi","Self-Income / Business","2020","Base",9.83,42.9798637164076
"Kagadi","Casual Labour Income","2020","Base",68.27,37.5527141872751
"Kagadi","Remit and Gifts Income","2020","Base",0.99,5.43603093178164
"Kagadi","Rent Income","2020","Base",4.93,0.976341780874359
"Kagadi","Perennial Crop Income","2020","Base",35.38,53.1724217134982
"Kagadi","Seasonal Crop Income","2020","Base",129.66,14.0872827501723
"Kagadi","Season1 Value","2020","Base",131.47,42.7828650179925
"Kagadi","Season2 Value","2020","Base",104.92,35.0254957507082
"Kagadi","Perennial Value","2020","Base",61.8,122.244851083378
"Kagadi","Annual Agric Value","2020","Base",298.19,200.053211852079
"Kagadi","Livestock Income","2020","Base",7.44,14.2018222188194
"Kagadi","Livestock Income/ Production","2020","Base",10.69,15.2584028787995
"Kagadi","Livestock Value","2020","Base",53.51,110.32156802695
"Kagadi","PPI","2020","Base",30.82,32.7
